movieCd,movieNm,movieNmEn,movieNmOg,openDt,showTm,genres,directors,audits,actors1,actors2,actors3
20177552,국가부도의 날,Default,,20181128,114,드라마,최국희,12세이상관람가,김혜수,김혜수,김혜수
20179230,도어락,Door Lock,,20181205,101,스릴러,이권,15세이상관람가,공효진,공효진,공효진
20183375,극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,劇場版ポケットモンスター みんなの物語,20181219,98,애니메이션,야지마 테츠오,전체관람가,,,
20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,,20181206,99,판타지,라세 할스트롬,전체관람가,키이라 나이틀리,키이라 나이틀리,키이라 나이틀리
20182082,부탁 하나만 들어줘,A Simple Favor,,20181212,116,스릴러,폴 페이그,청소년관람불가,블레이크 라이블리,블레이크 라이블리,블레이크 라이블리
20178825,모털 엔진,Mortal Engines,,20181205,128,액션,크리스찬 리버스,12세이상관람가,헤라 힐마,헤라 힐마,헤라 힐마
20183745,런닝맨 : 풀룰루의 역습,Running Man,,20181205,66,애니메이션,윤준상,전체관람가,김서영,김서영,김서영
20177538,완벽한 타인,Intimate Strangers,,20181031,115,드라마,이재규,15세이상관람가,유해진,유해진,유해진
20184481,성난황소,Unstoppable,,20181122,115,범죄,김민호,15세이상관람가,마동석,마동석,마동석
20181905,후드,Robin Hood,,20181128,116,어드벤처,오토 바서스트,12세이상관람가,태런 에저튼,태런 에저튼,태런 에저튼
20176814,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,20181114,133,판타지,데이빗 예이츠,12세이상관람가,에디 레드메인,에디 레드메인,에디 레드메인
20183073,베일리 어게인,A Dog's Purpose,,20181122,100,어드벤처,라세 할스트롬,전체관람가,조시 게드,조시 게드,조시 게드
20181171,바울,"Paul, Apostle Of Christ",,20181031,107,드라마,앤드류 하얏트,15세이상관람가,제임스 폴크너,제임스 폴크너,
20183007,거미줄에 걸린 소녀,THE GIRL IN THE SPIDER’S WEB,,20181128,115,액션,페드 알바레즈,15세이상관람가,클레어 포이,클레어 포이,클레어 포이
20182966,투 프렌즈,TWO TAILS,,20181129,74,애니메이션,빅터 아즈에프,전체관람가,,,
20183050,번 더 스테이지: 더 무비,Burn the Stage: the Movie,,20181115,82,기타,박준수,전체관람가,김남준,김남준,김남준
20182935,출국,Unfinished,,20181114,104,드라마,노규엽,15세이상관람가,이범수,이범수,이범수
20182669,툴리,TULLY,,20181122,95,드라마,제이슨 라이트맨,15세이상관람가,샤를리즈 테론,샤를리즈 테론,샤를리즈 테론
20186822,너의 췌장을 먹고 싶어,I want to eat your pancreas,君の膵臓をたべたい,20181115,109,애니메이션,우시지마 신이치로,12세이상관람가,타카스기 마히로,타카스기 마히로,타카스기 마히로
20170513,동네사람들,,,20181107,99,액션,임진순,15세이상관람가,마동석,마동석,마동석
20189869,해피 투게더,Happy Together,,20181115,110,드라마,김정환,12세이상관람가,박성웅,박성웅,박성웅
20174981,창궐,Rampant,,20181025,121,사극,김성훈,15세이상관람가,현빈,현빈,현빈
20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,,20011213,152,가족,크리스 콜럼버스,전체관람가,다니엘 래드클리프,다니엘 래드클리프,다니엘 래드클리프
20179006,여곡성,The Wrath,,20181108,94,공포(호러),유영선,15세이상관람가,홍예리,홍예리,홍예리
20181404,벽 속에 숨은 마법시계,The house with a clock in its walls,,20181031,105,판타지,일라이 로스,전체관람가,잭 블랙,잭 블랙,잭 블랙
20180523,스타 이즈 본,A Star Is Born,,20181009,135,드라마,브래들리 쿠퍼,15세이상관람가,브래들리 쿠퍼,브래들리 쿠퍼,브래들리 쿠퍼
20182693,구스범스: 몬스터의 역습,Goosebumps 2: Haunted Halloween,,20181107,89,판타지,아리 산델,12세이상관람가,잭 블랙,잭 블랙,
